photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1269523,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLF_1286_0781098912_432EBY_N0601682SCAM01286_00_0LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269534,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113406_409ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269535,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113471_477ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269549,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLE_1286_0781098912_432ECM_N0601682SCAM01286_00_0LLJ01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269550,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113410_409ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269551,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113414_395ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269552,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113430_426ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269553,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113434_441ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269554,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113442_441ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269555,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113446_426ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269580,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113397_409ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269581,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113402_237ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269582,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113422_409ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269583,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113426_426ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269584,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLG_1286_0781113438_426ECM_N0601874NCAM00525_00_2I4J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
